matchid,matchname,time,preodds,liodds
6,Arsenal vs Tottenham,2025-02-02 19:15,2.05,1.87
6,Arsenal vs Tottenham,2025-02-02 19:20,2.05,1.83
6,Arsenal vs Tottenham,2025-02-02 19:25,2.05,1.80

7,Inter vs Napoli,2025-02-10 20:00,1.75,1.78
7,Inter vs Napoli,2025-02-10 20:05,1.75,1.74
7,Inter vs Napoli,2025-02-10 20:10,1.75,1.70
7,Inter vs Napoli,2025-02-10 20:15,1.75,1.68
7,Inter vs Napoli,2025-02-10 20:20,1.75,1.65
7,Inter vs Napoli,2025-02-10 20:25,1.75,1.69
7,Inter vs Napoli,2025-02-10 20:30,1.75,1.72
7,Inter vs Napoli,2025-02-10 20:35,1.75,1.75
7,Inter vs Napoli,2025-02-10 20:40,1.75,1.71
7,Inter vs Napoli,2025-02-10 20:45,1.75,1.67
7,Inter vs Napoli,2025-02-10 20:50,1.75,1.64
7,Inter vs Napoli,2025-02-10 20:55,1.75,1.61
7,Inter vs Napoli,2025-02-10 21:00,1.75,1.63
7,Inter vs Napoli,2025-02-10 21:05,1.75,1.66
7,Inter vs Napoli,2025-02-10 21:10,1.75,1.70
7,Inter vs Napoli,2025-02-10 21:15,1.75,1.74
7,Inter vs Napoli,2025-02-10 21:20,1.75,1.71
7,Inter vs Napoli,2025-02-10 21:25,1.75,1.68
7,Inter vs Napoli,2025-02-10 21:30,1.75,1.64
7,Inter vs Napoli,2025-02-10 21:35,1.75,1.61
7,Inter vs Napoli,2025-02-10 21:40,1.75,1.58
7,Inter vs Napoli,2025-02-10 21:45,1.75,1.60
7,Inter vs Napoli,2025-02-10 21:50,1.75,1.63
7,Inter vs Napoli,2025-02-10 21:55,1.75,1.67
7,Inter vs Napoli,2025-02-10 22:00,1.75,1.70
7,Inter vs Napoli,2025-02-10 22:05,1.75,1.73
7,Inter vs Napoli,2025-02-10 22:10,1.75,1.69
7,Inter vs Napoli,2025-02-10 22:15,1.75,1.66
7,Inter vs Napoli,2025-02-10 22:20,1.75,1.63
7,Inter vs Napoli,2025-02-10 22:25,1.75,1.60
